Title,Grant Amount,Grant Term Start,Grant Term End,Description,Initiative,Grant Status,Grantee Address
National Committee for Responsive Philanthropy 2021,150000.0,2021-09-01,2023-08-31,"in general support of its mission to promote philanthropy that serves the public good, is responsive to people and communities with the least wealth and opportunity, and is held accountable to the highest standards of integrity and openness",Strategic Opportunities Fund,Unknown,"1900 L Street NW, Suite 825, Washington, DC 20036, United States of America"
United States Fund for UNICEF 2021,199800.0,2021-09-01,2021-12-31,in support of developing an entrepreneurship program targeting women and youth that drives outcomes in various sectors including green industries,Strategic Opportunities Fund,Unknown,"125 Maiden Lane, 12th floor, New York, NY 10038, United States of America"
Tideline Verification Services 2021,850000.0,2021-09-01,2031-12-31,"in support of advancing the development, market testing, and public education efforts at BlueMark related to verification of impact performance reports that describe the results associated with activities organizations pursue in order to foster a more just and equitable society",Innovative Finance,Unknown,"915-2 Battery St., Suite 3, San Francisco, CA 94111, United States of America"
New Venture Fund 2021,1250000.0,2021-09-01,2023-08-31,for use by the Tipping Point Fund toward the costs of a donor collaborative to fund field building infrastructure that will support the growth and practice of impact investing,Innovative Finance,Unknown,"1828 L Street NW, Suite 300A, Washington, DC 20036, United States of America"
Social Science Research Council 2021,7500000.0,2021-09-01,2025-06-30,toward the costs of launching a research consortium to drive acceptance and uptake of Covid-19 vaccination efforts and provide insights to counter health mis- and dis- information,Health Initiative,Unknown,"One Pierrepont Plaza, 15th Floor, Brooklyn, NY 11201, United States of America"
Arizona State University Foundation for A New American University 2021,500000.0,2021-09-01,2022-12-31,In support of empowering tribal communities to leverage wastewater-based epidemiology,Health Initiative,Unknown,"PO Box 2260, Tempe, AZ 85280-2260, United States of America"
"Pathways to Health Community Partnership, Inc 2021",500000.0,2021-09-01,2023-03-31,"in support of genomic sequencing of wastewater to better inform medical and public health counter measures in Tulsa, OK",Health Initiative,Unknown,"5051 S 129th East Ave, Tulsa, OK 74134, United States of America"
University of Louisville Research Foundation 2021,500000.0,2021-09-01,2023-03-31,toward the costs of using wastewater surveillance data as an indicator and outcomes measure for eradicating COVID infections.,Health Initiative,Unknown,"Office of Sponsored Programs, 300 E. Market Street, Suite 300, J.D. Nichols Campus, Louisville, KY 40202, United States of America"
Sustainable Energy for All 2021,500000.0,2021-09-01,2022-01-31,"in support of creating a strategic alliance focused on the intersection of energy, climate and development to advance global advocacy and progress on coalition building for the Global Energy Alliance",GEAPP,Unknown,"Andromeda Tower 15th Floor, Donau City Strasse 6, Vienna,  1220, Austria"
Amalgamated Charitable Foundation Inc. 2021,3000000.0,2021-09-01,2026-08-31,toward the costs of a pooled fund to advance community-led strategies for healthy and equitable food systems,Food Initiative,Unknown,"1825 K Street NW, Washington, DC 20006-1202, United States of America"
"Alliance for Open Society International, Inc. 2021",750000.0,2021-09-01,2022-12-31,"in support of adopting strategies that facilitate access to and confidence in safe, effective vaccination for those most socioeconomically and epidemiologically disadvantaged or most impacted by Covid-19 in Baltimore, specifically low-wage BIPOC, women workers and youth",U.S. Economic Opportunity,Unknown,"201 N. Charles Street, Suite 1300, Baltimore, MD 21201, United States of America"
"Bread of Life, Inc. 2021",250000.0,2021-09-01,2022-10-31,"in support of facilitating access to and confidence in safe, effective vaccination for those most socioeconomically and epidemiologically disadvantaged or most impacted by COVID-19 in Houston, TX, specifically eligible youth.",U.S. Economic Opportunity,Unknown,"2019 Crawford Street, Houston, TX 77070, United States of America"
R Street Institute 2021,240000.0,2021-09-01,2023-03-31,in support of producing and disseminating research on the effectiveness of the Child Tax Credit,U.S. Economic Opportunity,Unknown,"1212 New York Avenue, N.W., Suite 900, Washington, DC 20005, United States of America"
Tides Center 2021,650000.0,2021-09-01,2023-07-31,"for use by its project the National Farm to School Network, toward the costs of advancing regulatory and policy progress to equitably increase access to healthy food in schools",CPA Central Office,Unknown,"1012 Torney Ave, San Francisco, CA 94129-0907, United States of America"
Rhodium Group 2021,233411.0,2021-08-31,2022-08-31,"toward the costs of providing accessible, accurate, and actionable climate data in order to expand the number of decision-makers in developing countries around the world who have access to critical climate risk information",New Frontiers,Unknown,"5 Columbus Circle Ste 1801, New York, NY 10019, United States of America"
Sayara International 2021,485000.0,2021-08-16,2021-09-30,toward the costs of one or more charter flights to evacuate vulnerable civilians out of Afghanistan.in support of emergency relief efforts in Afghanistan,Strategic Opportunities Fund,Unknown,"1875 Connecticut Ave, NW, Washington, DC 20009, United States of America"
Post Road Foundation 2021,299986.0,2021-08-01,2024-01-01,in support of diligence consultants and operations to complete financial close of its first demonstration project,Innovative Finance,Unknown,"1999 Harrison Street, Suite 1800, Oakland, CA 94612, United States of America"
The Energy for Growth Hub 2021,5000000.0,2021-08-01,2026-08-31,toward the costs of analytical and advocacy work to inform the effort to address energy poverty and climate change,Power and Climate,Unknown,"1015 15th Street NW, Floor 6, Washington, DC 20005, United States of America"
Massachusetts Institute of Technology 2021,1200000.0,2021-08-01,2023-08-31,"in support of the Global Commission to End Energy Poverty to forge an actionable consensus among leading investors, utilities, and policy-makers that lays out a viable pathway for providing electricity services to under-served homes and businesses more quickly and more cost-effectively",GEAPP,Unknown,"77 Massachusetts Avenue, Room 3-208, Cambridge, MA 02139-4307, United States of America"
"World Central Kitchen, Inc. 2021",670000.0,2021-08-01,2021-10-31,in support of shared logistical expenses for on the ground disaster relief in Haiti in collaboration with CORE,Strategic Opportunities Fund,Unknown,"200 Massachusetts Ave NW, 7th Floor, Washington, DC 20001, United States of America"
World Hope International 2021,270000.0,2021-08-01,2021-09-30,in support of response and recovery efforts in Haiti,Strategic Opportunities Fund,Unknown,"1330 Braddock Place, Suite 301, Alexandria, VA 22314, United States of America"
Rockefeller Foundation Donations 2021,2500000.0,2021-08-01,2022-01-31,In support of RF donations to charitable organizations,Strategic Opportunities Fund,Unknown,"New York, New York, United States of America"
African Venture Philanthropy Alliance Limited 2021,100000.0,2021-08-01,2022-07-31,toward the costs of developing and launching an impact investing fellowship program in collaboration with the Asian Venture Philanthropy Network,Africa Regional Office,Unknown,"PO Box 764, Sarit Centre, Nairobi,  00606, Kenya"
Justice and Empowerment Initiatives 2021,475000.0,2021-08-01,2023-01-31,"in support of assisting community-based organizations in informal settlements to develop, expand, and amplify COVID-19 awareness and vaccination demand",Health Initiative,Unknown,"310 Herbert Macauley Way,, 3rd Floor, Lagos, Sabo-Yaba, Nigeria"
The Milken Institute 2021,500000.0,2021-08-01,2022-06-30,toward the costs of convening a taskforce to elevate the role of healthcare in increasing equitable access to healthy food,Food Initiative,Unknown,"1250 4th Street, Santa Monica, CA 90401, United States of America"
Thought For Food 2021,363764.0,2021-08-01,2022-07-31,in support of building a pipeline of investible food systems solutions and cultivating the next generation of food systems leaders,Food Initiative,Unknown,"534 Promontory, Estes Park, CO 80517, United States of America"
Intellecap Advisory Services Private Limited 2021,5000000.0,2021-08-01,2026-08-31,"in support of implementing the Powering Agriculture and Protective Foods SME Innovation Accelerator to provide technical and financial support to small and medium enterprises addressing the issue of availability, equitable access and affordability for protective foods among poor and underserved communities in Africa",Food Initiative,Unknown,"Techniplex II IT Park, 13A, 6 Floor, Off Veer Savarkar Flyover, Goregaon West, Mumbai, Maharashtra 400062, India"
"London School of Hygiene and Tropical Medicine, University of London 2021",50000.0,2021-08-01,2022-07-31,for use by its Global Panel on Agriculture and Food Systems for Nutrition toward the costs of disseminating a study and policy recommendations on nutrition and food systems transformation,Food Initiative,Unknown,"Keppel Street, London,  WC1E 7HT, England"
United Way of Greater Newark 2021,750000.0,2021-08-01,2023-03-31,in support of convening a cohort of youth-serving organizations in the City of Newark to conduct outreach and education in order to increase the number of eligible youth to receive the COVID-19 vaccine,U.S. Economic Opportunity,Unknown,"60 Park Place, Suite 1600, Newark, NJ 07102, United States of America"
